,Name ,County ,Acres ,Start Date ,Contained Date ,Unnamed: 5
14,Bullard,Yuba,"1,307",27-Aug-10,31-Aug-10,
15,Bullards,Nevada,"1,500",27-Aug-10,13-Sep-10,
16,Canyon,Kern,"9,820",12-Sep-10,19-Sep-10,
0,Cove,Kern,"1,122",27-May-11,31-May-11,
1,Cougar,Modoc,"2,000",8-Jun-11,13-Jun-11,
2,Antelope,Kern,"5,200",19-Jun-11,21-Jun-11,
3,Quinn,Kern,"3,154",21-Jun-11,22-Jun-11,
4,Stage,Tulare,"1,213",27-Jun-11,2-Jul-11,
5,Lion,Tulare,"20,500",8-Jul-11,10-Oct-11,
6,Scorpion Complex,Modoc,"2,945",15-Jul-11,18-Jul-11,
7,Eagle,San Diego,"14,100",21-Jul-11,29-Jul-11,
8,Annie,Modoc,"2,076",18-Aug-11,21-Aug-11,
9,Motor,Mariposa,"5,231",25-Aug-11,4-Sep-11,
10,Wells,San Bernardino,"1,723",28-Aug-11,31-Aug-11,
11,Hill,San Bernardino,"1,135",2-Sep-11,2-Sep-11,
12,Soda,San Luis Obispo,"1,528",3-Sep-11,4-Sep-11,
13,Canyon,Kern,"14,585",4-Sep-11,11-Sep-11,
14,Milton,San Joaquin,"1,122",9-Sep-11,11-Sep-11,
15,Keene Complex,Kern,"2,577",10-Sep-11,14-Sep-11,
16,Comanche Complex,Kern,"29,338",10-Sep-11,14-Sep-11,
17,Breckenridge Complex,Kern,"25,213",10-Sep-11,17-Sep-11,
18,John,Inyo,"5,300",13-Sep-11,16-Sep-11,
19,Tamarack,Mariposa,"1,011",13-Sep-11,17-Oct-11,
20,65 Fire,Kern,"2,005",23-Sep-11,23-Sep-11,
21,Ruth,Trinity,"1,460",23-Sep-11,28-Sep-11,
22,Buckeye,Mono,"1,140",25-Sep-11,27-Sep-11,
23,Great,San Diego,"2,135",1-Oct-11,7-Oct-11,
0,Banner,San Diego,"5,320",24-May-12,29-May-12,
1,George,Tulare,"1,707",1-Jun-12,15-Jun-12,
2,Gaines,Mariposa,"1,700",12-Jun-12,14-Jun-12,
3,Highland,Riverside,"2,171",16-Jun-12,18-Jun-12,
4,Cascade,Mariposa,"1,705",16-Jun-12,26-Nov-12,
5,Dale,Shasta,"1,083",5-Jul-12,7-Jul-12,
6,Fish,Inyo,"1,103",7-Jul-12,9-Jul-12,
7,Mill,Colusa,"29,502",7-Jul-12,18-Jul-12,
8,Grapevine,Colusa,"1,870",8-Jul-12,12-Jul-12,
9,Rail,Colusa,"1,870",9-Jul-12,12-Jul-12,
10,Turkey,Monterey,"2,529",9-Jul-12,20-Jul-12,
11,Robbers,Placer,"2,650",11-Jul-12,21-Jul-12,
12,Flat,Trinity,"1,688",11-Jul-12,17-Jul-12,
13,Sand,Kern,"1,428",14-Jul-12,"uly 19, 2012",
14,Spanish,Lassen,"1,169",18-Jul-12,21-Jul-12,
15,Reading,Shasta,"28,079",23-Jul-12,21-Aug-12,
16,Chips,Plumas,"75,217",29-Jul-12,31-Aug-12,
17,Rushmore,Riverside,"1,000",4-Aug-12,4-Aug-12,
18,Piute Comlex,Kern,"1,783",4-Aug-12,11-Aug-12,
19,Lake Complex,Modoc,"1,668",5-Aug-12,9-Aug-12,
20,Fort Complex,Siskiyou,"23,653",5-Aug-12,10-Sep-12,
21,Barry Point,Modoc,"38,394",6-Aug-12,28-Aug-12,
22,Indian,Mono,"12,574",8-Aug-12,15-Aug-12,
23,Chihuahua,San Diego,"2,006",9-Aug-12,12-Aug-12,
24,Jawbone Complex,Kern,"1,218",10-Aug-12,22-Aug-12,
25,Ramsey,Calaveras,"1,137",11-Aug-12,31-Aug-12,
26,Wye,Lake,"2,934",12-Aug-12,18-Aug-12,
27,Walker,Lake,"5,000",12-Aug-12,14-Aug-12,
28,Rush,Lassen,"271,911",12-Aug-12,31-Aug-12,
29,Vallecito Lightning Complex,San Diego,"22,829",13-Aug-12,20-Aug-12,
30,Mill,Tehama,"1,641",13-Aug-12,23-Aug-12,
31,Buck,Riverside,"2,681",14-Aug-12,18-Aug-12,
32,Nelson,Modoc,"3,661",17-Aug-12,21-Aug-12,
33,Ponderosa,Tehama,"27,676",18-Aug-12,2-Sep-12,
34,Bagley Complex,Shasta,"1,000",18-Aug-12,22-Aug-12,
35,North Pass,Mendocino,"41,983",18-Aug-12,16-Sep-12,
36,Bagley,Shasta,"46,011",18-Aug-12,15-Sep-12,
