incident_acres_burned,incident_dateonly_extinguished,incident_containment,incident_name,incident_county,STNAME,FIPS
4000,2008-07-24,100,Sta 57 Ono Cdf Igo 2,Shasta County,CA,06089
2054,2008-07-15,100,Whitmore Old Crow C2,Shasta County,CA,06089
1200,2008-07-06,100,EO2A,Shasta County,CA,06089
1148,2008-07-07,100,Stein,Shasta County,CA,06089
6030,2008-08-09,100,Moon,Shasta County,CA,06089
12980,2008-07-04,100,Platina 4,Trinity County,CA,06105
1311,2008-07-23,100,Lewiston 8,Trinity County,CA,06105
27936,2008-08-23,100,Lakehead,Shasta County,CA,06089
2200,2008-06-26,100,Oliver,Mariposa County,CA,06043
2889,2008-07-03,100,North Mountain,Tuolumne County,CA,06109
20541,2008-07-30,100,American River Complex,Placer County,CA,06061
4254,2008-07-15,100,Yuba River Complex,Sierra County,CA,06091
6420,2008-07-19,100,Whiskeytown Complex,Shasta County,CA,06089
192038,2008-09-30,100,Klamath Theater Complex,Siskiyou County,CA,06093
3000,2008-07-08,100,Popcorn,Lassen County,CA,06035
2100,2008-06-29,100,Mill Complex,Tehama County,CA,06103
15000,2008-06-29,100,Walker,Lake County,CA,06033
3000,2008-07-10,100,Orr Springs Rd Ukv 2,Mendocino County,CA,06045
1000,2008-07-13,100,5-8 Cliff Lightning,Mendocino County,CA,06045
1912,2008-07-04,100,Venture,Shasta County,CA,06089
12500,2008-07-07,100,Corral,Lassen County,CA,06035
2789,2008-07-06,100,Oliver,Mariposa County,CA,06043
13580,2008-07-01,100,Mill Creek,Tehama County,CA,06103
37026,2008-07-25,100,Piute,Kern County,CA,06029
5581,2008-06-30,100,Hardy,Mendocino County,CA,06045
9443,2008-07-28,100,Gap,Santa Barbara County,CA,06083
2800,2008-07-04,100,Butch Lightning,Mendocino County,CA,06045
1200,2008-07-10,100,Lost Pipe Lightning,Mendocino County,CA,06045
2000,2008-07-15,100,Jack Smith Lightning,Mendocino County,CA,06045
3000,2008-07-08,100,Albion Lightning,Mendocino County,CA,06045
1000,2008-07-08,100,Horse Lightning,Mendocino County,CA,06045
3000,2008-07-13,100,Orr Series Lightning,Mendocino County,CA,06045
3000,2008-07-15,100,Montgomery Flat Lightning,Mendocino County,CA,06045
1000,2008-07-07,100,Alder Creek Beach,Mendocino County,CA,06045
11596,2008-11-11,100,Tehipite,Fresno County,CA,06019
72344,2008-09-30,100,Panther,Siskiyou County,CA,06093
34091,2008-09-15,100,Telegraph,Mariposa County,CA,06043
6112,2008-08-10,100,Rich,Plumas County,CA,06063
2001,2008-08-11,100,Craig,Butte County,CA,06007
1651,2008-08-13,100,Rim,Butte County,CA,06007
2000,2008-08-13,100,Empire,Butte County,CA,06007
47647,2008-08-13,100,Camp Beldon and Pit,Butte County,CA,06007
1324,2008-08-13,100,Smokey,Butte County,CA,06007
6900,2008-08-22,100,Jack,Siskiyou County,CA,06093
1000,2008-09-03,100,Gladding,Placer County,CA,06061
2847,2008-09-11,100,Gulch,Shasta County,CA,06089
3668,2008-09-30,100,Hidden,Tulare County,CA,06107
16269,2008-10-29,100,Chalk,Monterey County,CA,06053
1400,2008-10-09,100,November,San Diego County,CA,06073
4824,2008-10-16,100,Marek,Los Angeles County,CA,06037
14703,2008-10-18,100,Sesnon,Los Angeles County,CA,06037
4026,2008-10-17,100,Juliett,San Diego County,CA,06073
